stem	average relative frequency	motion verb?
go	0.076722400677467	1
do	0.079614707347141	
see	0.057664489349589	
have	0.04460926014444	
want	0.059329230842498	
know	0.029201365458583	
get	0.050239126136956	1
put	0.06577665071947	1
make	0.025016608934359	
say	0.034778763682296	
think	0.027141795622337	
take	0.019497466846708	1
want to	0.038262546246303	
let us	0.027111886291418	
come	0.04584748509219	1
turn	0.012494365936188	1
like	0.018895819392099	
find	0.012342192560886	1
eat	0.018012212883552	
fall	0.00904360949678	1
play	0.01759564659979	
sit	0.018257050905406	1
happen	0.011151123342023	
read	0.015535070737718	
give	0.013971613157249	1
need	0.009227037875159	
tell	0.018492274942209	
wait	0.00750084920387	
work	0.003472396510341	
show	0.007197556431396	
hold	0.008474471734439	1
mean	0.004018192438364	
bring	0.007465024306805	1
try	0.012706133709915	
throw	0.011292856855667	1
hit	0.003048052652932	1
hear	0.007431692392463	
let	0.01336307477205	
use	0.007006608888997	
hurt	0.005655586768043	
open	0.008782042376315	1
call	0.007435871860338	
keep	0.007242403658554	
fit	0.006937434814248	1
catch	0.006256124773249	1
push	0.010960041610772	1
leave	0.006542671479939	
remember	0.008667337454855	
help	0.007474535929297	
live	0.003643358724725	
start	0.004661368454072	
wear	0.00459761089847	
talk	0.005416477819974	
pick	0.006997360373892	
cut	0.002713388147027	1
draw	0.016415872436872	1
finish	0.004752603987398	
run	0.004695010014374	
stand	0.004995407901406	1
drink	0.004785766735445	
ask	0.003751023678747	
fix	0.005189224122519	
move	0.003970154839392	1
wake	0.004679244250723	
break	0.004648126862546	1
feel	0.005818086379766	
pull	0.010676108601078	1
roll	0.004591971799343	1
walk	0.002738921244313	1
punch	0.000343388123987	1
stick	0.006996319032801	
watch	0.005195015987115	
clean	0.002759667396227	
place	0.000592843435913	1
wash	0.002955491969565	
drop	0.003316447495461	1
stop	0.005188847854069	
carry	0.001805796185165	1
listen	0.003689584741644	
buy	0.005225783227742	
hang	0.004264984463647	1
hate	0.000620476514333	
press	0.001526969296602	1
sleep	0.004445473104168	
bite	0.00618712605171	
blow	0.00284464690534	
cover	0.003310672302248	1
miss	0.003792817301789	
guess	0.003335373886194	
sing	0.007341838874853	
close	0.005425750391824	
drive	0.00360009260101	
lift	0.001767826636102	1
matter	0.00407655099373	
pant	0.001625477966765	
touch	0.007902516346787	
wind	0.003045821294367	
write	0.010035521845523	
bicycle	0.000518588775007	
build	0.013399362182292	
climb	0.003442042370717	
color	0.005938180101693	
cry	0.005390068105285	
dog	0.003298829450488	
dry	0.002473038553526	
forget	0.00288387509626	
grow	0.001151964499881	
laugh	0.000657662439825	
love	0.004226571857827	
reach	0.001916459058921	1
shut	0.006135515812126	1
bet	0.002854989622857	
even	0.000926674748904	
fly	0.003198646611454	
pour	0.002777065228877	1
ride	0.004477352232048	
save	0.000942176357406	
smash	0.000499031560759	1
wonder	0.002076356927909	
dig	0.000948370994301	1
jump	0.002539952199702	1
suppose	0.002977616084536	
tie	0.0015363985168	1
attach	0.000491081281011	1
count	0.003352048783769	
knock	0.004448622843718	1
learn	0.001364703954705	
cause	0.002121232840531	
cook	0.002202928119487	
mow	0.00105008973155	
share	0.001413910311188	
change	0.002212141455287	
decide	0.002209591923577	
fold	0.001219587616615	1
grind	0.000214553740891	1
peter	0.003649808406433	
set	0.002790619187215	1
stretch	0.000396422903253	1
time	0.001545160543538	
brush	0.00287661296606	1
bump	0.001042371557616	1
button	0.002395524618764	
hide	0.002697643196679	
invite	0.000302890883387	
kiss	0.002234889278489	
paint	0.000882174674433	1
step	0.00117508864748	
taste	0.002577020989733	
yell	0.000409532724157	
bake	0.000788463947461	
ding	0.000673531115815	
dump	0.003761857253241	1
hop	0.000833060687369	1
rip	0.001119944704187	1
scratch	0.000751032370915	1
