stem	naigles_hoff_ginsberg_1998.txt	wordbank_action_english.txt	naigles_hoff_2009.txt	goldin_meadow_1976.txt	huttenlocher_1983.txt	CHILDES_300_frequent.txt
jump	1	1	1	1	1	1
run	1	1	1	1	1	1
drop	1	1	1	1	1	1
pull	1	1	1	1	1	1
sit	1	1	1	1	1	1
take	1	1	1	0	1	1
throw	0	1	1	1	1	1
go	1	1	1	0	1	1
cry	0	1	1	1	1	1
eat	0	1	1	1	1	1
wash	0	1	1	1	1	1
give	1	1	1	0	1	1
open	1	1	1	1	0	1
push	1	1	1	0	1	1
fall	1	1	1	1	0	1
kiss	0	1	1	1	0	1
come	1	0	1	0	1	1
dance	0	1	0	1	1	1
blow	0	1	0	1	1	1
touch	0	1	0	1	1	1
like	1	1	1	0	0	1
put	1	1	1	0	0	1
close	0	1	0	1	1	1
walk	0	1	1	0	1	1
kick	0	1	0	1	1	1
cut	0	1	1	0	1	1
bring	0	1	1	0	1	1
see	1	1	1	0	0	1
move	1	0	1	0	0	1
spill	0	1	0	0	1	1
cook	0	1	0	0	1	1
get	0	1	0	0	1	1
look	1	1	1	0	0	0
drive	0	1	0	0	1	1
ride	0	1	0	0	1	1
stand	0	1	0	1	0	1
listen	1	1	0	0	0	1
finish	0	1	0	0	1	1
wipe	0	1	0	0	1	1
buy	0	1	0	0	1	1
bump	0	1	0	0	1	1
hear	1	1	0	0	0	1
carry	0	1	0	0	1	1
sing	0	1	0	0	1	1
talk	0	1	0	0	1	1
fly	0	0	0	1	1	1
bite	0	0	1	0	1	1
need	1	0	1	0	0	1
play	0	1	0	0	1	1
break	0	1	0	0	1	1
drink	0	0	0	1	1	1
find	0	1	0	0	1	1
cover	0	1	0	0	1	1
want	1	0	1	0	0	1
hold	0	1	1	0	0	1
have	0	1	0	0	1	1
hit	0	1	0	0	1	1
draw	0	1	0	0	1	1
make	0	1	0	0	1	1
wait	0	1	0	0	1	1
stop	0	1	1	0	0	1
read	0	1	0	0	1	1
fix	0	1	0	0	1	1
think	1	1	0	0	0	1
knock	0	1	0	0	1	1
swim	0	1	0	0	0	1
share	0	1	0	0	0	1
help	0	1	0	0	0	1
tickle	0	1	0	0	1	0
wave	0	0	1	0	1	0
feed	0	1	0	0	0	1
lay	1	0	1	0	0	0
pick	0	1	0	0	0	1
clean	0	0	0	0	1	1
sleep	0	1	0	0	0	1
clap	0	1	1	0	0	0
turn	0	0	0	0	1	1
climb	0	1	0	0	0	1
show	0	1	0	0	0	1
crawl	0	0	0	1	0	1
lick	0	1	0	0	0	1
love	0	1	0	0	0	1
smile	0	1	0	1	0	0
lie down	0	0	0	1	1	0
bounce	0	0	0	0	1	1
know	1	0	0	0	0	1
fit	0	1	0	0	0	1
pat	0	0	0	0	1	1
wake	0	1	0	0	0	1
build	0	1	0	0	0	1
leave	0	0	0	0	1	1
say	0	1	0	0	0	1
paint	0	1	0	0	0	1
rip	0	1	0	0	0	1
taste	0	1	0	0	0	1
hurry	0	1	0	0	0	1
chase	0	1	0	0	0	1
pour	0	1	0	0	0	1
dry	0	0	0	0	1	1
dump	0	1	0	0	0	1
roll	0	0	1	0	0	1
hide	0	1	0	0	0	1
hug	0	1	0	0	0	1
catch	0	1	0	0	0	1
hurt	0	0	0	0	1	1
stay	0	1	0	0	1	0
shake	0	1	0	0	0	1
hate	0	1	0	0	0	1
face	0	0	0	0	0	1
straighten	0	0	0	0	0	1
stretch	0	0	0	0	0	1
burp	0	0	0	0	0	1
reach	0	0	0	0	0	1
dig	0	0	0	0	0	1
breathe	0	0	0	0	0	1
wind	0	0	0	0	0	1
write	0	0	0	0	0	1
record	0	0	0	0	0	1
fold	0	0	0	0	0	1
jail	0	0	0	0	0	1
want to	0	0	0	0	0	1
sweep	0	1	0	0	0	0
cake	0	0	0	0	0	1
learn	0	0	0	0	0	1
call	0	0	0	0	0	1
set	0	0	0	0	0	1
sound	0	0	0	0	0	1
bet	0	0	0	0	0	1
lift	0	0	0	0	0	1
cause	0	0	0	0	0	1
drink (action)	0	1	0	0	0	0
lose	0	0	0	0	0	1
pick up	0	0	0	0	1	0
matter	0	0	0	0	0	1
sneeze	0	0	0	0	0	1
chew	0	0	0	0	0	1
change	0	0	0	0	0	1
crow	0	0	0	0	0	1
bend	0	0	0	0	0	1
bat	0	0	0	0	0	1
point to	0	0	0	1	0	0
bark	0	0	0	0	0	1
saw	0	0	0	0	0	1
spread	0	0	0	0	0	1
skate	0	1	0	0	0	0
wear	0	0	0	0	0	1
cross	0	0	0	0	0	1
hammer	0	0	0	0	0	1
mind	0	0	0	0	0	1
grow	0	0	0	0	0	1
let us	0	0	0	0	0	1
blink	0	0	0	0	0	1
land	0	0	0	0	0	1
steal	0	0	0	0	0	1
connect	0	0	0	0	0	1
count	0	0	0	0	0	1
feel	0	0	0	0	0	1
wish	0	0	0	0	0	1
pay	0	0	0	0	0	1
jack	0	0	0	0	0	1
bake	0	0	0	0	0	1
add	0	0	0	0	0	1
remember	0	0	0	0	0	1
paste	0	0	0	0	0	1
snap	0	0	0	0	0	1
match	0	0	0	0	0	1
sticker	0	0	0	0	0	1
flatter	0	0	0	0	0	1
te	0	1	0	0	0	0
forget	0	0	0	0	0	1
cough	0	0	0	0	1	0
ding	0	0	0	0	0	1
hand	0	0	0	0	0	1
press	0	0	0	0	0	1
time	0	0	0	0	0	1
follow	0	0	0	0	0	1
grate	0	0	0	0	0	1
let	0	0	0	0	0	1
balance	0	0	0	0	0	1
dream	0	0	0	0	0	1
attach	0	0	0	0	0	1
slip	0	0	0	0	0	1
watch	0	0	0	0	0	1
pretend	0	1	0	0	0	0
bang	0	0	0	0	0	1
miss	0	0	0	0	0	1
bear	0	0	0	0	0	1
rush	0	0	0	0	0	1
baby	0	0	0	0	0	1
ball	0	0	0	0	0	1
save	0	0	0	0	0	1
sell	0	0	0	0	0	1
start	0	0	0	0	0	1
rid	0	0	0	0	0	1
live	0	0	0	0	0	1
side	0	0	0	0	0	1
bam	0	0	0	0	0	1
sprout	0	0	0	0	0	1
tuck	0	0	0	0	0	1
thank	0	0	0	0	0	1
clean (action)	0	1	0	0	0	0
splash	0	1	0	0	0	0
happen	0	0	0	0	0	1
shine	0	0	0	0	0	1
slide (action)	0	1	0	0	0	0
put down	0	0	0	0	1	0
harry	0	0	0	0	0	1
scream	0	0	0	0	0	1
shovel	0	0	0	0	0	1
heat	0	0	0	0	0	1
grind	0	0	0	0	0	1
turn around	0	0	0	1	0	0
pant	0	0	0	0	0	1
use	0	0	0	0	0	1
place	0	0	0	0	0	1
fall down	0	0	0	0	1	0
tear	0	1	0	0	0	0
peter	0	0	0	0	0	1
crack	0	0	0	0	0	1
color	0	0	0	0	0	1
roar	0	0	0	0	0	1
serve	0	0	0	0	0	1
lock	0	0	0	0	0	1
ring	0	0	0	0	0	1
oush	0	0	0	1	0	0
worry	0	0	0	0	0	1
laugh	0	0	0	0	0	1
smash	0	0	0	0	0	1
pee	0	0	0	0	0	1
keep	0	0	0	0	0	1
give me	0	0	0	0	0	1
except	0	0	0	0	0	1
step	0	0	0	0	0	1
chop	0	0	0	0	0	1
yell	0	0	0	0	0	1
juice	0	0	0	0	0	1
shoot	0	0	0	0	0	1
pop	0	0	0	0	0	1
notice	0	0	0	0	0	1
dog	0	0	0	0	0	1
clang	0	0	0	0	0	1
pamper	0	0	0	0	0	1
understand	0	0	0	0	0	1
begin	0	0	0	0	0	1
end	0	0	0	0	0	1
believe	0	0	0	0	0	1
identify	0	0	0	0	0	1
belong	0	0	0	0	0	1
mother	0	0	0	0	0	1
scare	0	0	0	0	0	1
shape	0	0	0	0	0	1
kid	0	0	0	0	0	1
fill	0	0	0	0	0	1
shut	0	0	0	0	0	1
visit	0	0	0	0	0	1
chicken	0	0	0	0	0	1
step on	0	0	0	1	0	0
deserve	0	0	0	0	0	1
try	0	0	0	0	0	1
ask	0	0	0	0	0	1
swing (action)	0	1	0	0	0	0
tell	0	0	0	0	0	1
guess	0	0	0	0	0	1
box	0	0	0	0	0	1
stick	0	0	0	0	0	1
scratch	0	0	0	0	0	1
let me	0	0	0	0	0	1
number	0	0	0	0	0	1
wonder	0	0	0	0	0	1
erase	0	0	0	0	0	1
hop	0	0	0	0	0	1
tape	0	0	0	0	0	1
crush	0	0	0	0	0	1
lie	1	0	0	0	0	0
decide	0	0	0	0	0	1
dry (action)	0	1	0	0	0	0
ready	0	0	0	0	0	1
spit	0	0	0	0	0	1
stir	0	0	0	0	0	1
flip	0	0	0	0	0	1
long	0	0	0	0	0	1
rub	0	0	0	0	0	1
crash	0	0	0	0	0	1
plug	0	0	0	0	0	1
piece	0	0	0	0	0	1
do	0	0	0	0	0	1
teach	0	0	0	0	0	1
hope	0	0	0	0	0	1
wiggle	0	0	0	0	1	0
answer	0	0	0	0	0	1
enjoy	0	0	0	0	0	1
brush	0	0	0	0	0	1
mow	0	0	0	0	0	1
mash	0	0	0	0	0	1
mean	0	0	0	0	0	1
punch	0	0	0	0	0	1
bag	0	0	0	0	0	1
crowd	0	0	0	0	0	1
burn	0	0	0	0	0	1
dirty	0	0	0	0	0	1
check	0	0	0	0	0	1
moon	0	0	0	0	0	1
watch (action)	0	1	0	0	0	0
grab	0	0	0	0	0	1
bury	0	0	0	0	0	1
tire	0	0	0	0	0	1
detach	0	0	0	0	0	1
suppose	0	0	0	0	0	1
plant	0	0	0	0	0	1
bicycle	0	0	0	0	0	1
sure	0	0	0	0	0	1
